# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
2.100000000000000000e+01 1.000000000000000000e+00 7.686899999999999844e-01 2.101038074686603068e+02 1.048229807468660510e+03 1.820248360872371712e-188 1.820248360872371712e-188
2.100000000000000000e+01 2.000000000000000000e+00 1.040750000000000064e+00 2.120198074686604741e+02 1.092721807468660700e+03 1.034831685453726580e-197 1.034831685453726580e-197
2.100000000000000000e+01 3.000000000000000000e+00 1.899499999999999966e+00 2.153798074686601467e+02 1.061583807468660780e+03 3.206381811157353361e-190 3.206381811157353361e-190
2.100000000000000000e+01 4.000000000000000000e+00 2.250379999999999825e+00 2.424038074686604887e+02 9.400958074686604959e+02 5.688349660492123588e-158 5.688349660492123588e-158
2.100000000000000000e+01 5.000000000000000000e+00 1.816750000000000087e+00 2.266158074686609325e+02 1.026883807468660962e+03 3.026153102763333400e-180 3.026153102763333400e-180
2.100000000000000000e+01 6.000000000000000000e+00 2.610440000000000094e+00 2.032778074686602849e+02 1.031307807468660940e+03 2.834322035908766695e-186 2.834322035908766695e-186
2.100000000000000000e+01 7.000000000000000000e+00 1.170940000000000092e+00 2.383418074686605905e+02 1.033249807468660947e+03 4.413672533141511829e-179 4.413672533141511829e-179
2.100000000000000000e+01 8.000000000000000000e+00 1.775130000000000097e+00 2.116778074686608306e+02 9.705378074686605032e+02 2.968409753537380033e-171 2.968409753537380033e-171
2.100000000000000000e+01 9.000000000000000000e+00 1.890000000000000013e-01 2.144838074686604159e+02 9.644118074686602995e+02 2.582753781567873314e-169 2.582753781567873314e-169
2.100000000000000000e+01 1.000000000000000000e+01 1.990129999999999955e+00 1.966018074686608088e+02 1.016499807468660947e+03 1.653067382581534945e-184 1.653067382581534945e-184
2.100000000000000000e+01 1.100000000000000000e+01 7.567500000000000338e-01 1.931678074686606124e+02 9.733018074686606269e+02 7.127437962960817946e-176 7.127437962960817946e-176
2.100000000000000000e+01 1.200000000000000000e+01 1.418129999999999891e+00 2.369558074686601685e+02 1.061455807468660169e+03 1.655689725888409308e-185 1.655689725888409308e-185
2.100000000000000000e+01 1.300000000000000000e+01 4.302500000000000213e-01 2.402598074686602558e+02 9.809698074686602922e+02 2.592664213632010667e-167 2.592664213632010667e-167
