#sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
2.400000000000000000e+01 1.000000000000000000e+00 3.774500000000000188e+00 2.036618074686602995e+02 4.759498074686607652e+02 8.718522128645169876e-65 8.718522128645169876e-65
2.400000000000000000e+01 5.000000000000000000e+00 2.929940000000000211e+00 2.213938074686602704e+02 4.928938074686602704e+02 1.292870124820390906e-64 1.292870124820390906e-64
2.400000000000000000e+01 9.000000000000000000e+00 2.750690000000000079e+00 2.105518074686606269e+02 4.362458074686610416e+02 1.143408507059423398e-54 1.143408507059423398e-54
2.400000000000000000e+01 1.300000000000000000e+01 2.667129999999999779e+00 2.379818074686609179e+02 4.838878074686608670e+02 4.668973241779223658e-59 4.668973241779223658e-59
2.400000000000000000e+01 1.700000000000000000e+01 3.703380000000000116e+00 2.321338074686609616e+02 4.754378074686601394e+02 1.714898837400780330e-58 1.714898837400780330e-58
2.400000000000000000e+01 2.100000000000000000e+01 2.365559999999999885e+00 2.165538074686610344e+02 5.181178074686604305e+02 3.830365773539990541e-71 3.830365773539990541e-71
2.400000000000000000e+01 2.500000000000000000e+01 3.004879999999999995e+00 2.207198074686602922e+02 4.858638074686605250e+02 3.102721274507323459e-63 3.102721274507323459e-63
2.400000000000000000e+01 2.900000000000000000e+01 2.188499999999999890e+00 2.223478074686609034e+02 4.814498074686607652e+02 6.364237721732536643e-62 6.364237721732536643e-62
2.400000000000000000e+01 3.300000000000000000e+01 1.857499999999999984e-01 2.190418074686604086e+02 4.751258074686602413e+02 2.878039608622127456e-61 2.878039608622127456e-61
2.400000000000000000e+01 3.700000000000000000e+01 2.612880000000000091e+00 2.111798074686603286e+02 4.762498074686609471e+02 3.219672212161700573e-63 3.219672212161700573e-63
2.400000000000000000e+01 4.100000000000000000e+01 2.806379999999999875e+00 2.484058074686608961e+02 4.862478074686605396e+02 2.632065762611322004e-57 2.632065762611322004e-57
2.400000000000000000e+01 4.500000000000000000e+01 2.513999999999999790e+00 2.419378074686601394e+02 4.391478074686601758e+02 1.751553593818567227e-48 1.751553593818567227e-48
2.400000000000000000e+01 4.900000000000000000e+01 2.672940000000000094e+00 1.950038074686608525e+02 4.830898074686601831e+02 3.235569714014937062e-68 3.235569714014937062e-68
2.400000000000000000e+01 5.300000000000000000e+01 2.111000000000000210e+00 2.357298074686605105e+02 4.600458074686603140e+02 2.277352809501791177e-54 2.277352809501791177e-54
2.400000000000000000e+01 5.700000000000000000e+01 3.509129999999999860e+00 2.148758074686602413e+02 4.933498074686604014e+02 3.955214503944649335e-66 3.955214503944649335e-66
2.400000000000000000e+01 6.100000000000000000e+01 3.729629999999999779e+00 2.300178074686609762e+02 4.838278074686604668e+02 8.972006767257398117e-61 8.972006767257398117e-61
2.400000000000000000e+01 6.500000000000000000e+01 3.187310000000000088e+00 2.283138074686603431e+02 5.107458074686610416e+02 5.466398165481957005e-67 5.466398165481957005e-67
2.400000000000000000e+01 6.900000000000000000e+01 3.682749999999999968e+00 2.084438074686604523e+02 4.689758074686606051e+02 3.113334891067760325e-62 3.113334891067760325e-62
2.400000000000000000e+01 7.300000000000000000e+01 2.752689999999999859e+00 1.851138074686605250e+02 4.741698074686610198e+02 1.992131202853256825e-68 1.992131202853256825e-68
2.400000000000000000e+01 7.700000000000000000e+01 2.929809999999999803e+00 2.128538074686603068e+02 4.810958074686604959e+02 6.592051795501241057e-64 6.592051795501241057e-64
2.400000000000000000e+01 8.100000000000000000e+01 1.521060000000000079e+00 2.350578074686609398e+02 5.049458074686608597e+02 2.894651286057579442e-64 2.894651286057579442e-64
2.400000000000000000e+01 8.500000000000000000e+01 4.195630000000000415e+00 2.224418074686609543e+02 5.032318074686609179e+02 1.242387381056256948e-66 1.242387381056256948e-66
2.400000000000000000e+01 8.900000000000000000e+01 2.617560000000000109e+00 1.843018074686606269e+02 4.402598074686602558e+02 3.065189427553640101e-61 3.065189427553640101e-61
