# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
7.000000000000000000e+00 1.000000000000000000e+00 8.469000000000000139e-02 2.888018074686606269e+02 2.855278074686602849e+02 3.221387946807577407e+01 3.221387946807577407e+01
7.000000000000000000e+00 2.000000000000000000e+00 7.810000000000000102e-03 2.203418074686605905e+02 2.225598074686604377e+02 2.067618370130680727e+00 2.067618370130680727e+00
7.000000000000000000e+00 3.000000000000000000e+00 2.631899999999999795e-01 2.016358074686604596e+02 2.020918074686605905e+02 4.989807835292983107e+00 4.989807835292983107e+00
7.000000000000000000e+00 4.000000000000000000e+00 2.455999999999999850e-02 2.396038074686603068e+02 2.400898074686601831e+02 4.915519274872655942e+00 4.915519274872655942e+00
7.000000000000000000e+00 5.000000000000000000e+00 1.087499999999999994e-01 2.218418074686605905e+02 2.237018074686602631e+02 2.472914461699099231e+00 2.472914461699099231e+00
7.000000000000000000e+00 6.000000000000000000e+00 6.537999999999999368e-02 2.016058074686607142e+02 2.031158074686609325e+02 2.945849996504234181e+00 2.945849996504234181e+00
7.000000000000000000e+00 7.000000000000000000e+00 7.674999999999999878e-02 2.325418074686604086e+02 2.330318074686601904e+02 4.905698060810942174e+00 4.905698060810942174e+00
7.000000000000000000e+00 8.000000000000000000e+00 4.800000000000000100e-02 2.130238074686603795e+02 2.132438074686606342e+02 5.614751883517707043e+00 5.614751883517707043e+00
7.000000000000000000e+00 9.000000000000000000e+00 8.544000000000000206e-02 2.092918074686604086e+02 2.096578074686603941e+02 5.219478011307645993e+00 5.219478011307645993e+00
7.000000000000000000e+00 1.000000000000000000e+01 2.233799999999999952e-01 2.296518074686609907e+02 2.304938074686606342e+02 4.114006614618151758e+00 4.114006614618151758e+00
7.000000000000000000e+00 1.100000000000000000e+01 1.554999999999999993e-01 2.048718074686603359e+02 2.100318074686601904e+02 4.749229963962101619e-01 4.749229963962101619e-01
7.000000000000000000e+00 1.200000000000000000e+01 8.037999999999999312e-02 2.214158074686602049e+02 2.215118074686606633e+02 5.973884579053034827e+00 5.973884579053034827e+00
7.000000000000000000e+00 1.300000000000000000e+01 2.833800000000000208e-01 2.414658074686603868e+02 2.427698074686604741e+02 3.265449413551743785e+00 3.265449413551743785e+00
7.000000000000000000e+00 1.400000000000000000e+01 5.219000000000000028e-02 2.138878074686608670e+02 2.183778074686606487e+02 6.639140365331505089e-01 6.639140365331505089e-01
7.000000000000000000e+00 1.500000000000000000e+01 2.183799999999999908e-01 1.958898074686603650e+02 1.990018074686604450e+02 1.322332733253995363e+00 1.322332733253995363e+00
7.000000000000000000e+00 1.600000000000000000e+01 1.402500000000000135e-01 2.333038074686610344e+02 2.379398074686605469e+02 6.171750394270743012e-01 6.171750394270743012e-01
7.000000000000000000e+00 1.700000000000000000e+01 1.154400000000000009e-01 2.612458074686610416e+02 2.649438074686604523e+02 9.864894963764837543e-01 9.864894963764837543e-01
7.000000000000000000e+00 1.800000000000000000e+01 3.599999999999999728e-02 2.289898074686607288e+02 2.297518074686604450e+02 4.281902409593168812e+00 4.281902409593168812e+00
7.000000000000000000e+00 1.900000000000000000e+01 1.913100000000000078e-01 2.097098074686609834e+02 2.120298074686606924e+02 1.964813635936342617e+00 1.964813635936342617e+00
7.000000000000000000e+00 2.000000000000000000e+01 6.794000000000000039e-02 2.133638074686605250e+02 2.164898074686607288e+02 1.313108725811849897e+00 1.313108725811849897e+00
7.000000000000000000e+00 2.100000000000000000e+01 4.940599999999999992e-01 1.992498074686609471e+02 2.046178074686604305e+02 4.280126186794236953e-01 4.280126186794236953e-01
7.000000000000000000e+00 2.200000000000000000e+01 3.008799999999999808e-01 2.265438074686608161e+02 2.346678074686606124e+02 1.078943683905013579e-01 1.078943683905013579e-01
7.000000000000000000e+00 2.300000000000000000e+01 1.333100000000000118e-01 2.415058074686603504e+02 2.413158074686607506e+02 6.892248670566696767e+00 6.892248670566696767e+00
7.000000000000000000e+00 2.400000000000000000e+01 1.044400000000000051e-01 2.596358074686604596e+02 2.595018074686604450e+02 6.701942428361804538e+00 6.701942428361804538e+00
7.000000000000000000e+00 2.500000000000000000e+01 6.787999999999999590e-02 2.067858074686610053e+02 2.088998074686605833e+02 2.177979035870972080e+00 2.177979035870972080e+00
7.000000000000000000e+00 2.600000000000000000e+01 1.193800000000000000e-01 2.629158074686602049e+02 2.631378074686608670e+02 5.609139938073430365e+00 5.609139938073430365e+00
7.000000000000000000e+00 2.700000000000000000e+01 4.018999999999999656e-02 2.497518074686604450e+02 2.502338074686604159e+02 4.925360151018021604e+00 4.925360151018021604e+00
7.000000000000000000e+00 2.800000000000000000e+01 1.656900000000000039e-01 2.193878074686608670e+02 2.207158074686603868e+02 3.226498195312973216e+00 3.226498195312973216e+00
7.000000000000000000e+00 2.900000000000000000e+01 1.430999999999999980e-02 1.962698074686604741e+02 1.970998074686604014e+02 4.138764854750997202e+00 4.138764854750997202e+00
7.000000000000000000e+00 3.000000000000000000e+01 1.943100000000000105e-01 1.995498074686602195e+02 2.020678074686602486e+02 1.779615623374292577e+00 1.779615623374292577e+00
7.000000000000000000e+00 3.100000000000000000e+01 2.442499999999999949e-01 2.271198074686608379e+02 2.310338074686605978e+02 8.855001955361386790e-01 8.855001955361386790e-01
7.000000000000000000e+00 3.200000000000000000e+01 3.065599999999999992e-01 2.464318074686607360e+02 2.512938074686608161e+02 5.512302938712628775e-01 5.512302938712628775e-01
7.000000000000000000e+00 3.300000000000000000e+01 6.550000000000000266e-02 2.107058074686601685e+02 2.111078074686602122e+02 5.126367911957219192e+00 5.126367911957219192e+00
7.000000000000000000e+00 3.400000000000000000e+01 1.462499999999999911e-01 2.098798074686601467e+02 2.090058074686603504e+02 9.702634039019104151e+00 9.702634039019104151e+00
7.000000000000000000e+00 3.500000000000000000e+01 2.711299999999999821e-01 2.114598074686609834e+02 2.145298074686606924e+02 1.350395346801356755e+00 1.350395346801356755e+00
7.000000000000000000e+00 3.600000000000000000e+01 1.926900000000000002e-01 2.596258074686602413e+02 2.624578074686605760e+02 1.521044696433140331e+00 1.521044696433140331e+00
7.000000000000000000e+00 3.700000000000000000e+01 8.118999999999999828e-02 2.067578074686607579e+02 2.093578074686602122e+02 1.708126915425348002e+00 1.708126915425348002e+00
7.000000000000000000e+00 3.800000000000000000e+01 4.925599999999999978e-01 2.085798074686608743e+02 2.118098074686604377e+02 1.246572018716872954e+00 1.246572018716872954e+00
7.000000000000000000e+00 3.900000000000000000e+01 2.667499999999999871e-01 2.003278074686604668e+02 2.015998074686604014e+02 3.318116819852690025e+00 3.318116819852690025e+00
7.000000000000000000e+00 4.000000000000000000e+01 1.568799999999999917e-01 2.850038074686608525e+02 2.915278074686602849e+02 2.401233328069484196e-01 2.401233328069484196e-01
7.000000000000000000e+00 4.100000000000000000e+01 1.713099999999999901e-01 2.159338074686602340e+02 2.197178074686607943e+02 9.449695247599794179e-01 9.449695247599794179e-01
7.000000000000000000e+00 4.200000000000000000e+01 1.714400000000000091e-01 2.092178074686607943e+02 2.107158074686603868e+02 2.963578227993990843e+00 2.963578227993990843e+00
7.000000000000000000e+00 4.300000000000000000e+01 4.098100000000000076e-01 2.320538074686610344e+02 2.403138074686603431e+02 1.008014437088487064e-01 1.008014437088487064e-01
7.000000000000000000e+00 4.400000000000000000e+01 3.591300000000000048e-01 2.097918074686604086e+02 2.138478074686609034e+02 8.248096876131414401e-01 8.248096876131414401e-01
7.000000000000000000e+00 4.500000000000000000e+01 6.800000000000000488e-02 1.946178074686604305e+02 1.939558074686601685e+02 8.726788205956271582e+00 8.726788205956271582e+00
7.000000000000000000e+00 4.600000000000000000e+01 2.919000000000000067e-02 2.436678074686606124e+02 2.446998074686607652e+02 3.741166267556069958e+00 3.741166267556069958e+00
7.000000000000000000e+00 4.700000000000000000e+01 1.748800000000000077e-01 2.396698074686610198e+02 2.426538074686604887e+02 1.409728875556040428e+00 1.409728875556040428e+00
7.000000000000000000e+00 4.800000000000000000e+01 1.281000000000000021e-02 2.314038074686604887e+02 2.312298074686605105e+02 6.837330646196758899e+00 6.837330646196758899e+00
7.000000000000000000e+00 4.900000000000000000e+01 4.519000000000000100e-02 2.090458074686603140e+02 2.090138074686601612e+02 6.368712940808960887e+00 6.368712940808960887e+00
7.000000000000000000e+00 5.000000000000000000e+01 2.048099999999999921e-01 1.901058074686607142e+02 1.952898074686609107e+02 4.692579785266435821e-01 4.692579785266435821e-01
7.000000000000000000e+00 5.100000000000000000e+01 1.913000000000000117e-02 2.003418074686605905e+02 1.995378074686605032e+02 9.368915980043238889e+00 9.368915980043238889e+00
7.000000000000000000e+00 5.200000000000000000e+01 1.021299999999999986e-01 2.079018074686609907e+02 2.097538074686608525e+02 2.482825929265507714e+00 2.482825929265507714e+00
7.000000000000000000e+00 5.300000000000000000e+01 6.750000000000000444e-02 1.933878074686608670e+02 1.932298074686605105e+02 6.782850213321971466e+00 6.782850213321971466e+00
7.000000000000000000e+00 5.400000000000000000e+01 1.216900000000000065e-01 2.377898074686609107e+02 2.374638074686608888e+02 7.377223874385101077e+00 7.377223874385101077e+00
7.000000000000000000e+00 5.500000000000000000e+01 5.981000000000000205e-02 2.423118074686608452e+02 2.424058074686608961e+02 5.979861451571491848e+00 5.979861451571491848e+00
7.000000000000000000e+00 5.600000000000000000e+01 1.751300000000000079e-01 2.295038074686608525e+02 2.340198074686604741e+02 6.553390124792048965e-01 6.553390124792048965e-01
7.000000000000000000e+00 5.700000000000000000e+01 3.255600000000000160e-01 2.501538074686604887e+02 2.523878074686608670e+02 2.051143410872477091e+00 2.051143410872477091e+00
7.000000000000000000e+00 5.800000000000000000e+01 9.962999999999999634e-02 2.048898074686603650e+02 2.107418074686602267e+02 3.360139503643535530e-01 3.360139503643535530e-01
7.000000000000000000e+00 5.900000000000000000e+01 5.411899999999999489e-01 2.283778074686606487e+02 2.339058074686608961e+02 3.951054447625750310e-01 3.951054447625750310e-01
7.000000000000000000e+00 6.000000000000000000e+01 1.411900000000000099e-01 2.223478074686609034e+02 2.279938074686606342e+02 3.724685773086022222e-01 3.724685773086022222e-01
