# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
1.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 2.092800000000000011e+02 2.126899999999999977e+02 1.464380908756117705e+00 2.713016265635455615e-01
2.000000000000000000e+00 0.000000000000000000e+00 2.950000000000000178e+00 2.095200000000000102e+02 2.382400000000000091e+02 1.700355205479878348e-06 3.762561187556709766e-07
3.000000000000000000e+00 0.000000000000000000e+00 2.899999999999999800e-01 2.103400000000000034e+02 2.112899999999999920e+02 5.213300298420396217e+00 1.014924888423118565e+00
4.000000000000000000e+00 0.000000000000000000e+00 1.379999999999999893e+00 2.097599999999999909e+02 2.264499999999999886e+02 2.172327891852462425e-04 4.509813223226011563e-05
5.000000000000000000e+00 0.000000000000000000e+00 5.040000000000000036e+00 2.089699999999999989e+02 4.114100000000000250e+02 1.029365431588601694e-55 3.727575547064447909e-56
6.000000000000000000e+00 0.000000000000000000e+00 3.359999999999999876e+00 2.090099999999999909e+02 6.038400000000000318e+02 3.366484599992426092e-92 9.620305867573798863e-93
7.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 2.095200000000000102e+02 2.097700000000000102e+02 6.808102094042134844e+00 1.270322612948040941e+00
8.000000000000000000e+00 0.000000000000000000e+00 1.760000000000000009e+00 2.105900000000000034e+02 2.926100000000000136e+02 4.528304542340945180e-19 1.161607690342903322e-19
9.000000000000000000e+00 0.000000000000000000e+00 8.199999999999999512e-01 2.103000000000000114e+02 2.148400000000000034e+02 1.140126727580454524e+00 2.201218993952649139e-01
1.000000000000000000e+01 0.000000000000000000e+00 3.990000000000000213e+00 2.107100000000000080e+02 1.624990000000000009e+03 2.558920078886753737e-316 1.167545302181991676e-316
1.100000000000000000e+01 0.000000000000000000e+00 1.600000000000000033e-01 2.102800000000000011e+02 2.108100000000000023e+02 3.181717668274101296e+00 8.299677664649538489e-01
1.200000000000000000e+01 0.000000000000000000e+00 2.470000000000000195e+00 2.151899999999999977e+02 9.750199999999999818e+02 5.331614574059028325e-172 2.346536460131009505e-172
1.400000000000000000e+01 0.000000000000000000e+00 2.800000000000000266e-01 2.091500000000000057e+02 2.118499999999999943e+02 4.327989032464665264e+00 1.162060649572784543e+00
1.500000000000000000e+01 0.000000000000000000e+00 1.860000000000000098e+00 2.122599999999999909e+02 2.250999999999999943e+02 1.099475892354984298e-04 3.392149489404968683e-05
1.600000000000000000e+01 0.000000000000000000e+00 2.129999999999999893e+00 2.099000000000000057e+02 2.620199999999999818e+02 1.610212527171747861e-13 5.159846339014088707e-14
1.700000000000000000e+01 0.000000000000000000e+00 2.250000000000000000e+00 2.093000000000000114e+02 3.155400000000000205e+02 9.752607181044539054e-28 4.460910292513777448e-28
1.800000000000000000e+01 0.000000000000000000e+00 4.179999999999999716e+00 2.110000000000000000e+02 2.946159999999999854e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 0.000000000000000000e+00 1.050000000000000044e+00 2.103799999999999955e+02 2.155200000000000102e+02 7.947201093915849945e-01 2.201745478689993707e-01
2.000000000000000000e+01 0.000000000000000000e+00 1.550000000000000044e+00 2.099499999999999886e+02 2.212899999999999920e+02 9.613922690518625358e-03 2.748194124458232593e-03
2.100000000000000000e+01 0.000000000000000000e+00 2.310000000000000053e+00 2.150099999999999909e+02 1.035539999999999964e+03 1.304330131499079706e-185 5.678078833386523310e-186
2.300000000000000000e+01 0.000000000000000000e+00 7.399999999999999911e-01 2.076100000000000136e+02 6.919400000000000546e+02 2.100079254469702160e-114 1.096283194569924563e-114
2.400000000000000000e+01 0.000000000000000000e+00 2.970000000000000195e+00 2.090800000000000125e+02 4.991999999999999886e+02 4.114847774310189158e-69 1.581502842268293414e-69
