# sample noise bias chi2_TATT chi2_NLA bayes_fac bayes_fac_err
1.000000000000000000e+00 -1.000000000000000000e+00 3.880999999999999728e-02 1.322135161554709892e+00 2.022096049240059923e+00 3.578440977958343705e+00 8.970398279339710790e-01
2.000000000000000000e+00 -1.000000000000000000e+00 9.234400000000000386e-01 9.579383883536211064e-01 3.676596996609620049e+01 1.150787032716411980e-49 2.986648572530247041e-50
3.000000000000000000e+00 -1.000000000000000000e+00 9.456000000000000516e-02 1.047652954787526847e+00 2.454164567002834918e+00 2.982877213307792541e+00 8.117658504522589080e-01
4.000000000000000000e+00 -1.000000000000000000e+00 4.198799999999999755e-01 8.984845883096782559e-01 1.041651588508151960e+01 1.672299299204347417e-02 4.439383842144891019e-03
5.000000000000000000e+00 -1.000000000000000000e+00 4.167880000000000251e+00 1.676846968336046073e+00 2.326485749853951859e+02 2.949383911626915651e-56 1.383394995968825638e-56
6.000000000000000000e+00 -1.000000000000000000e+00 2.707749999999999879e+00 1.162638533543906227e+00 3.595103180855973619e+02 4.072765164284738996e-84 1.587429869090602246e-84
7.000000000000000000e+00 -1.000000000000000000e+00 1.274399999999999977e-01 7.024977164118959561e-01 1.323708933306549929e+00 4.594186916912422092e+00 8.367040146241863097e-01
8.000000000000000000e+00 -1.000000000000000000e+00 1.124249999999999972e+00 2.738405809737260110e+00 9.360129904828039571e+01 2.190269262148401930e-20 8.013906596880663432e-21
9.000000000000000000e+00 -1.000000000000000000e+00 1.454999999999999905e-01 1.141600911405439955e+00 3.362428149238009922e+00 2.969462930668907319e+00 7.531625059186144444e-01
1.000000000000000000e+01 -1.000000000000000000e+00 3.454629999999999868e+00 2.934656492898080060e+00 1.366356031694840112e+03 3.253115803996201317e-305 1.497924865110293923e-305
1.900000000000000000e+01 -1.000000000000000000e+00 2.854999999999999760e-01 1.592714597539460097e+00 2.569849060943670160e+00 1.736168433501539710e+00 4.463628097201164380e-01
2.000000000000000000e+01 -1.000000000000000000e+00 4.608800000000000119e-01 1.552280731515510048e+00 8.991247064142049439e+00 2.449861780404708200e-01 6.456427795138498793e-02
2.100000000000000000e+01 -1.000000000000000000e+00 1.626379999999999937e+00 4.796477367810330072e+00 7.992565441604690477e+02 5.521633390091953000e-179 2.382321714631359211e-179
2.400000000000000000e+01 -1.000000000000000000e+00 2.914250000000000007e+00 1.853850881202860013e+00 2.629930076050490015e+02 2.298176774862752769e-62 8.722989448973043238e-63
1.100000000000000000e+01 -1.000000000000000000e+00 2.389400000000000135e-01 3.678044731559058089e-01 2.620496714634414914e+00 1.759491716008901641e+00 4.539875462859898625e-01
1.200000000000000000e+01 -1.000000000000000000e+00 2.314439999999999831e+00 4.744607802800405061e+00 7.341255215634790829e+02 1.058572558851539903e-164 4.597391345460304247e-165
1.400000000000000000e+01 -1.000000000000000000e+00 3.079399999999999915e-01 1.079195138208121296e+00 3.430920935985392273e+00 1.709076473643180494e+00 4.532330995803797169e-01
1.500000000000000000e+01 -1.000000000000000000e+00 1.746059999999999945e+00 1.507009051131704469e+00 1.419763577958429934e+01 8.080891266143495465e-04 2.413579611804385317e-04
1.600000000000000000e+01 -1.000000000000000000e+00 1.369809999999999972e+00 9.615791533643069933e-01 3.743820138269977349e+01 5.883511992549859364e-10 1.784432194817558663e-10
1.700000000000000000e+01 -1.000000000000000000e+00 1.956299999999999983e-01 1.077578876630814531e+00 1.083960095874984972e+02 3.947814523224646112e-27 1.483167801435478508e-27
1.800000000000000000e+01 -1.000000000000000000e+00 4.354879999999999640e+00 1.396849365839476276e+00 2.699428340889072842e+03 0.000000000000000000e+00 0.000000000000000000e+00
